wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
236,64,1,E_go,ego,_,VQV,e.g.o,'/V\.Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 64",,,<l xml:lang=&quot;lat&quot; n=&quot;64&quot;><q>
237,64,2,ui[r]g[o],virgo,_,QVRQV,v.i.r.g.o,'Q/V\R.Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 64",,<supplied reason=&quot;missing&quot;>maria</supplied></q></l></lg>,
238,65,1,Ancela,ancela,_,ANSelA,a.n.c.e.l.a,,pro,NOMcom,NOMcom,sfn,ancela,DOM,,"CantAnn, l. 65",,,<lg n=&quot;17&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;65&quot;><q>
239,65,2,soi,soi,–|,Soi,s.o.i,,pro,VERcjg,VERcjg,indpst1,èser,DOM,,"CantAnn, l. 65",,<lb/>,
240,65,3,da_mrideu,damrideu,–,dAmridɛu,d.a.m.r.i.d.e.u,,pro,NOMpro,NOMpro,smr,domnedèu,DOM,,"CantAnn, l. 65",,</q></l>,
241,66,1,si,si,+,Si,s.i,,pro,ADVgen,ADVgen,,si2,DOM,,"CantAnn, l. 66",,,<l n=&quot;66&quot;><q>
242,66,2,cum,cum,–,kOm,c.u.m,,pro,CONsub,CONsub,,cóm,DOM,,"CantAnn, l. 66",,,
243,66,3,tu,tu,+,ty,t.u,,pro,PRNper,PRNper,2smn,tu,DOM,,"CantAnn, l. 66",,,
244,66,4,o,o,+,O,o,,pro,PRCdem,PRCdem,snr,ó2,DOM,,"CantAnn, l. 66",,,
245,66,5,dit,dit,–,diT,d.i.t,,pro,VERcjg,VERcjg,indpst2,dire,DOM,,"CantAnn, l. 66",,,
246,66,6,o,o,+,O,o,,pro,PRCdem,PRCdem,snr,ó2,DOM,,"CantAnn, l. 66",,,
247,66,7,cre,cre,+,kre,c.r.e,,pro,VERcjg,VERcjg,indpst1,créire,DOM,,"CantAnn, l. 66",,,
248,66,8,eu,eu,–,ɛu,e.u,,pro,PRNper,PRNper,1sfn,eu,DOM,,"CantAnn, l. 66",,</q></l>,
249,67,1,maire,maire,–,mAirE,m.a.i.r.e,,pro,NOMcom,NOMcom,sfn,maire,DOM,,"CantAnn, l. 67",,,<l n=&quot;67&quot;><q>
250,67,2,serai,serai,–,SErAi,s.e.r.a.i,,pro,VERcjg,VERcjg,indfut1,èser,DOM,,"CantAnn, l. 67",,,
251,67,3,damri_deu,damrideu,_,dAmridɛu,d.a.m.r.i.d.e.u,,pro,NOMpro,NOMpro,smr,domnedèu,DOM,,"CantAnn, l. 67",,</q></l>,
252,68,1,E,e,_,E,e,,pro,CONcoo,CONcoo,,e,DOM,,"CantAnn, l. 68",,,<l n=&quot;68&quot;><q>
253,68,2,pois,pois,–|,pɔiS,p.o.i.s,,pro,ADVgen,ADVgen,,pòis,DOM,,"CantAnn, l. 68",,<supplied reason=&quot;missing&quot;>virgo maria</supplied></q></l></lg><lb/>,
254,69,1,L,l,_,L,l,,pro,DETdef,DETdef,smn,lo2,DOM,,"CantAnn, l. 69",,,<lg n=&quot;18&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;69&quot;>
255,69,2,angels,angels,–,ANʤELS,a.n.g.e.l.s,,pro,NOMcom,NOMcom,smn,angel,DOM,,"CantAnn, l. 69",,,
256,69,3,es,es,–,ES,e.s,,pro,VERcjg,VERcjg,indpst3,èser,DOM,,"CantAnn, l. 69",,,
257,69,4,de,de,+,dE,d.e,,pro,PRE,PRE,,de,DOM,,"CantAnn, l. 69",,,
258,69,5,u,u,–,u,u,,pro,DETdef,DETdef,smr,lo2,DOM,,"CantAnn, l. 69",,,
