wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
40,12,2,u[=uirgine],virgine,_,QVRQVNV,v.i.r.g.i.n.e,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 12",,<supplied reason=&quot;missing&quot;>maria</supplied></l></lg>,
41,13,1,L_ais,lais,_,LAiS,l.a.i.s,L/A\iS,pro,VERcjg,VERcjg,subpst3,laisar,DOM,,"PrVierge2, l. 13",,,<lg n=&quot;4&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;13&quot;>
42,13,2,l,l,+,L,l,L/\,pro,DETdef,DETdef,smn,lo2,DOM,,"PrVierge2, l. 13",,,
43,13,3,om,om,_,Om,o.m,/O\m,pro,NOMcom,NOMcom,smn,óme,DOM,,"PrVierge2, l. 13",,,
44,13,4,di_re,dire,–,dirE,d.i.r.e,'d/i\.r/(E)\,pro,VERinf,VERinf,,dire,DOM,,"PrVierge2, l. 13",,,
45,13,5,chi,chi,_,ki,ch.i,k/<i>\,pro,PRNrel,PRNrel,smn,qui,DOM,,"PrVierge2, l. 13",,,
46,13,6,no,no,+,nO,n.o,n/O\,pro,ADVneg,ADVneg,,nóN,DOM,,"PrVierge2, l. 13",,,
47,13,7,u,u,+,u,u,/\u,pro,PRCper,PRCper,3sma,lo3,DOM,,"PrVierge2, l. 13",,,
48,13,8,sab,sab,–,SAP,s.a.b,S/A\P,pro,VERcjg,VERcjg,indpst3,sabér,DOM,,"PrVierge2, l. 13",,</l>,
49,14,1,qu,qu,+,k,qu,k/\,pro,CONsub,CONsub,,que2,DOM,,"PrVierge2, l. 14",,,<l n=&quot;14&quot;>
50,14,2,eu,eu,–|,ɛu,e.u,/ɛ\u,pro,PRNper,PRNper,1smn,eu,DOM,,"PrVierge2, l. 14",,<lb/>,
51,14,3,no,no,+,nO,n.o,n/O\,pro,ADVneg,ADVneg,,nóN,DOM,,"PrVierge2, l. 14",word_SponsT:236,,
52,14,4,l,l,–,L,l,/\L,pro,PRCper,PRCper,3sma,lo3,DOM,,"PrVierge2, l. 14",,,
53,14,5,dirai,dirai,–,dirAi,d.i.r.a.i,d/i\.'r/A\i,pro,VERcjg,VERcjg,indfut1,dire,DOM,,"PrVierge2, l. 14",,,
54,14,6,ses,ses,_,SeS,s.e.s,S/e\S,pro,PRE,PRE,,séns,DOM,,"PrVierge2, l. 14",,,
55,14,7,nul,nul,_,nyl,n.u.l,n/y\l,pro,DETind,DETind,smr,nul,DOM,,"PrVierge2, l. 14",,,
56,14,8,gab,gab,–,gAP,g.a.b,g/A\P,pro,NOMcom,NOMcom,smr,gap,DOM,,"PrVierge2, l. 14",,</l>,
57,15,1,mout,mout,–,mouT,m.o.u.t,m/o\uT,pro,ADVgen,ADVgen,,mólt,DOM,,"PrVierge2, l. 15",,,<l n=&quot;15&quot;>
