wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
100,8,2,25,"EpreuveJudic, l. 8",toz,toz,toÇ,t.o.z,t/o\Ç,_,fro,DETind,pmr,tout,DMF,tout,,,
101,8,3,25,"EpreuveJudic, l. 8",les,les,LES,l.e.s,L/E\S,_,fro,DETdef,pmr,le,DMF,le,,,
102,8,4,25,"EpreuveJudic, l. 8",fedelz,fedelz,fEðeLÇ,f.e.d.e.l.z,f/E\.'ð/e\LÇ,_,fro,NOMcom,pmr,fidèle,DMF,fidèle,,,
103,8,5,25,"EpreuveJudic, l. 8",damine_deu,daminedeu,dAminEdæu,d.a.m.i.n.e.d.e.u,d/A\.m/i\.n/E\.'d/æ\u,.,fro,NOMpro,smr,damedieu,DMF,damedieu,,,
104,8,6,25,"EpreuveJudic, l. 8",q[ui],qui,,,,_,lat,---,---,---,---,---,,,<cl xml:lang=&quot;lat&quot;>
105,8,7,25,"EpreuveJudic, l. 8",trin[us],trinus,,,,_,lat,---,---,---,---,---,,,
106,8,8,25,"EpreuveJudic, l. 8",e[st],est,,,,_,lat,---,---,---,---,---,,,
107,8,9,25,"EpreuveJudic, l. 8",i,i,,,,+,lat,---,---,---,---,---,,,
108,8,10,25,"EpreuveJudic, l. 8",n_umero,numero,,,,.,lat,---,---,---,---,---,,,
109,8,11,25,"EpreuveJudic, l. 8",[et],et,,,,_,lat,---,---,---,---,---,,,
110,8,12,25,"EpreuveJudic, l. 8",un[us],unus,,,,_,lat,---,---,---,---,---,,,
111,8,13,25,"EpreuveJudic, l. 8",e[st],est,,,,_,lat,---,---,---,---,---,,,
112,8,14,25,"EpreuveJudic, l. 8",i,i,,,,+,lat,---,---,---,---,---,,,
113,8,15,25,"EpreuveJudic, l. 8",n_homine[=nomine],nomine,,,,.,lat,---,---,---,---,---,,</cl>,
114,8,16,25,"EpreuveJudic, l. 8",que,que,kE,qu.e,k/(E)\,_,fro,CONsub,---,que,DMF,que,,,
115,8,17,25,"EpreuveJudic, l. 8",il,il,il,i.l,/i\l,|,fro,PRNper,6pmn,il,DMF,il,,,
116,9,1,25,"EpreuveJudic, l. 9",tot,tot,toT,t.o.t,t/o\T,_,fro,PRNind,pmn,tout,DMF,tout,,,<lb n=&quot;9&quot;/>
117,9,2,25,"EpreuveJudic, l. 9",preient,preient,prEiENT,p.r.e.i.e.n.t,'pr/E\i./E\NT,_,fro,VERcjg,indpst6,prier,DMF,prier,,,
118,9,3,25,"EpreuveJudic, l. 9",damine_deu,daminedeu,dAminEdæu,d.a.m.i.n.e.d.e.u,d/A\.m/i\.n/E\.'d/æ\u,.,fro,NOMpro,smr,damedieu,DMF,damedieu,,,
119,9,4,25,"EpreuveJudic, l. 9",que,que,kE,qu.e,k/(E)\,_,fro,CONsub,---,que,DMF,que,,,
120,9,5,25,"EpreuveJudic, l. 9",il,il,il,i.l,/i\l,_,fro,PRNper,3smn,il,DMF,il,,,
121,9,6,25,"EpreuveJudic, l. 9",declarast,declarast,dEkLAraST,d.e.c.l.a.r.a.s.t,d/E\.kL/A\.'r/a\ST,_,fro,VERcjg,subipf3,déclarer,DMF,déclarer,,,
122,9,7,25,"EpreuveJudic, l. 9",[et],e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,,,
123,9,8,25,"EpreuveJudic, l. 9",il,il,il,i.l,/i\l,_,fro,PRNper,3smn,il,DMF,il,,,
124,9,9,25,"EpreuveJudic, l. 9",demonstrast,demonstrast,dEmONStraST,d.e.m.o.n.s.t.r.a.s.t,d/E\.m/O\NS.'tr/a\ST,_,fro,VERcjg,subipf3,démontrer,DMF,démontrer,,,
125,9,10,25,"EpreuveJudic, l. 9",ceste,ceste,ÇeStə,c.e.s.t.e,'Ç/e\S.t/(ə)\,_,fro,DETdem,sfr,cist,DMF,cist,,,
126,9,11,25,"EpreuveJudic, l. 9",cose,cose,ċɔzə,c.o.s.e,'ċ/ɔ\.z/(ə)\,.,fro,NOMcom,sfr,chose,DMF,chose,,,
127,9,12,25,"EpreuveJudic, l. 9",que,que,kE,qu.e,k/(E)\,_,fro,CONsub,---,que,DMF,que,,,
128,9,13,25,"EpreuveJudic, l. 9",nuls,nuls,nyLS,n.u.l.s,n/y\LS,|,fro,DETind,smn,nul,DMF,nul,,,
129,10,1,25,"EpreuveJudic, l. 10",uem,uem,uEm,u.e.m,/uE\m,_,fro,NOMcom,smn,homme,DMF,homme,,,<lb n=&quot;10&quot;/>
130,10,2,25,"EpreuveJudic, l. 10",ne,ne,nE,n.e,n/(E)\,_,fro,ADVneg,---,ne,DMF,ne,,,
131,10,3,25,"EpreuveJudic, l. 10",puscet,puscet,pyʦəð,p.u.sc.e.t,'p/y\.ʦ/(ə)\ð,_,fro,VERcjg,subpst3,pouvoir2,DMF,pouvoir2,,,
132,10,4,25,"EpreuveJudic, l. 10",estre,estre,ɛStrə,e.s.t.r.e,'/ɛ\S.tr/(ə)\,_,fro,VERinf,---,être,DMF,être,,,
133,10,5,25,"EpreuveJudic, l. 10",encolpet,encolpet,ENkoLpæð,e.n.c.o.l.p.e.t,/E\N.k/o\L.'p/æ\ð,_,fro,VERppe,smn,encoulper,DMF,encoulper,,,
134,10,6,25,"EpreuveJudic, l. 10",si,si,Si,s.i,S/i\,_,fro,CONsub,---,si3,DMF,si3,,,
135,10,7,25,"EpreuveJudic, l. 10",cil,cil,Çil,c.i.l,Ç/i\l,_,fro,PRNdem,smn,cil,DMF,cil,,,
136,10,8,25,"EpreuveJudic, l. 10",n[on],non,nOn,n.o.n,n/O\n,_,fro,ADVneg,---,non,DMF,non,,,
137,10,9,25,"EpreuveJudic, l. 10",chi,chi,ki,ch.i,k/i\,_,fro,PRNrel,smn,qui,DMF,qui,,,
138,10,10,25,"EpreuveJudic, l. 10",dreit,dreit,drEiT,d.r.e.i.t,dr/E\iT,_,fro,NOMcom,smr,droit,DMF,droit,,,
139,10,11,25,"EpreuveJudic, l. 10",í,i,i,i,/i\,_,fro,PRCadv,---,y2,DMF,y2,,,
140,10,12,25,"EpreuveJudic, l. 10",ad,ad,Að,a.d,/A\ð,.,fro,VERcjg,indpst3,avoir,DMF,avoir,,</s>,
141,10,13,26,"EpreuveJudic, l. 10",ore,ore,orə,o.r.e,'/o\.r/(ə)\,_,fro,ADVgen,---,or2,DMF,or2,,,<s xml:lang=&quot;fro&quot;>
142,10,14,26,"EpreuveJudic, l. 10",deit,deit,dEiT,d.e.i.t,d/E\iT,_,fro,VERcjg,indpst3,devoir2,DMF,devoir2,,,
143,10,15,26,"EpreuveJudic, l. 10",l,l,L,l,L/\,+,fro,DETdef,snn,le,DMF,le,,,
144,10,16,26,"EpreuveJudic, l. 10",on,on,On,o.n,/O\n,_,fro,PRNind,snn,on,DMF,on,,,
145,10,17,26,"EpreuveJudic, l. 10",prendre,prendre,prENdrə,p.r.e.n.d.r.e,'pr/E\N.dr/(ə)\,_,fro,VERinf,---,prendre,DMF,prendre,,,
146,10,18,26,"EpreuveJudic, l. 10",une,une,ynə,u.n.e,'/y\.n/(ə)\,_,fro,DETndf,sfr,un,DMF,un,,,
147,10,19,26,"EpreuveJudic, l. 10",rotele,rotele,rotɛlə,r.o.t.e.l.e,r/o\.'t/ɛ\.l/(ə)\,.|,fro,NOMcom,sfr,rouelle,DMF,rouelle,,,
148,11,1,26,"EpreuveJudic, l. 11",[et],e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,,,<lb n=&quot;11&quot;/>
149,11,2,26,"EpreuveJudic, l. 11",ensansunt,ensansunt,,,,_,fro,---,---,---,---,---,lemma_Gersbach:65,,
150,11,3,26,"EpreuveJudic, l. 11",en,en,En,e.n,/E\n,_,fro,PRE,---,en,DMF,en,,,
151,11,4,26,"EpreuveJudic, l. 11",un,un,yn,u.n,/y\n,_,fro,DETndf,smr,un,DMF,un,,,
152,11,5,26,"EpreuveJudic, l. 11",fust,fust,fyST,f.u.s.t,f/y\ST,.,fro,NOMcom,smr,fût,DMF,fût,,,
153,11,6,26,"EpreuveJudic, l. 11",[et],e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,,,
154,11,7,26,"EpreuveJudic, l. 11",metre,metre,metrə,m.e.t.r.e,'m/e\.tr/(ə)\,_,fro,VERinf,---,mettre,DMF,mettre,,,
155,11,8,26,"EpreuveJudic, l. 11",le,le,LE,l.e,L/(E)\,_,fro,DETdef,smr,le,DMF,le,,,
156,11,9,26,"EpreuveJudic, l. 11",mance,mance,mANÇə,m.a.n.c.e,'m/A\N.Ç/(ə)\,_,fro,NOMcom,smr,manche,DMF,manche,,,
157,11,10,26,"EpreuveJudic, l. 11",ensz,ensz,ENÇ,e.n.sz,/E\NÇ,_,fro,ADVgen,---,ens,DMF,ens,,,
158,11,11,26,"EpreuveJudic, l. 11",e,e,E,e,/E\,+,fro,PRE,---,en,DMF,en,,,
159,11,12,26,"EpreuveJudic, l. 11",l,l,L,l,/\L,+,fro,DETdef,smr,le,DMF,le,,,
160,11,13,26,"EpreuveJudic, l. 11",liua[=liure],livre,Livrə,l.i.v.r.e,'L/i\.vr/(ə)\,_,fro,NOMcom,smr,livre,DMF,livre,,,
161,11,14,26,"EpreuveJudic, l. 11",e,e,e,e,/e\,+,fro,CONcoo,---,et,DMF,et,,,
162,11,15,26,"EpreuveJudic, l. 11",lier,lier,Liɛr,l.i.e.r,L/iɛ\r,+,fro,VERinf,---,lier,DMF,lier,,,
163,11,16,26,"EpreuveJudic, l. 11",bien,bien,biEn,b.i.e.n,b/iE\n,_,fro,ADVgen,---,bien,DMF,bien,,,
164,11,17,26,"EpreuveJudic, l. 11",que,que,kE,qu.e,k/(E)\,_,fro,CONsub,---,que,DMF,que,,,
165,11,18,26,"EpreuveJudic, l. 11",nen,nen,nEn,n.e.n,n/E\n,+,fro,ADVneg,---,ne,DMF,ne,,,
166,11,19,26,"EpreuveJudic, l. 11",chidet,chidet,ċiðəð,ch.i.d.e.t,'ċ/i\.ð/ə\ð,.,fro,VERcjg,subpst3,choir,DMF,choir,,,
167,11,20,26,"EpreuveJudic, l. 11",[et],e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,,,
168,11,21,26,"EpreuveJudic, l. 11",puis,puis,pyiS,p.u.i.s,p/y\iS,|,fro,ADVgen,---,puis,DMF,puis,,,
169,12,1,26,"EpreuveJudic, l. 12",prendre,prendre,prENdrə,p.r.e.n.d.r.e,'pr/E\N.dr/(ə)\,_,fro,VERinf,---,prendre,DMF,prendre,,,<lb n=&quot;12&quot;/>
170,12,2,26,"EpreuveJudic, l. 12",leuer,lever,LivEr,l.e.v.e.r,'L/i\.v/E\r,_,fro,NOMcom,smr,livre,DMF,livre,"lemma_FoersterKoschwitz:173,n.11",,
171,12,3,26,"EpreuveJudic, l. 12",par,par,pAr,p.a.r,p/A\r,_,fro,PRE,---,par,DMF,par,,,
172,12,4,26,"EpreuveJudic, l. 12",la,la,LA,l.a,L/(A)\,_,fro,DETdef,sfr,le,DMF,le,,,
