wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,para_id,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_right,tei_left
139,19,9,so,so,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
140,19,10,so|ma[=sama],sama,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
141,20,1,duo,duo,,,,.,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",</s>,<lb n=&quot;22&quot;/>
142,20,2,indi,indi,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,<s xml:lang=&quot;goh&quot;>
143,20,3,mit,mit,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,
144,20,4,luheren,luheren,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,
145,20,5,in,in,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,
146,20,6,nohhein_iu,nohheiniu,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,
147,20,7,t|hing,thing,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,
148,21,1,ne,ne,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,<lb n=&quot;23&quot;/>
149,21,2,ge_gango,gegango,,,,.,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,
150,21,3,the,the,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,
151,21,4,minan,minan,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,
152,21,5,uuillon,uuillon,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,
153,21,6,imo,imo,,,,|,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,
154,22,1,ce,ce,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 24",,<lb n=&quot;24&quot;/>
155,22,2,s_cadhen,scadhen,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 24",,
156,22,3,uuerdhen,uuerdhen,,,,.|,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 24",</s></q></p>,
157,23,1,Sacram[en]tu[m],sacramentum,,,,_,lat,4,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 25",,<lb n=&quot;25&quot;/><p xml:lang=&quot;lat&quot;><s>
158,23,2,aut[em],autem,,,,_,lat,4,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 25",,
159,23,3,qu[od],quod,,,,_,lat,4,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 25",,
160,23,4,utroru[m]q[ue],utrorumque,,,,_,lat,4,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 25",,
161,23,5,populus,populus,,,,|,lat,4,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 25",,
162,24,1,quiq[ue],quique,,,,_,lat,4,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 26",,<lb n=&quot;26&quot;/>
163,24,2,propria,propria,,,,_,lat,4,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 26",,
164,24,3,lingua,lingua,,,,_,lat,4,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 26",,
165,24,4,testatus,testatus,,,,_,lat,4,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 26",,
166,24,5,est,est,,,,.|,lat,4,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 26",,
167,25,1,Romana,romana,,,,_,lat,4,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 27",,<lb n=&quot;27&quot;/>
