wd_id,line_id,linewd,dipl,wd_div,word,phon,phon_map,syllabified,lang,pos,pos_syn,morph,penn_pos,syntag,syntag2,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
121,15,4,for_fazc,_,forfazc,fOrfAČ,f.o.r.f.a.zc,f/O\r.'f/A\Č,pro,NOMcom,NOMcom,pmr,NCPL,N,N,forfach,DOM,forfait,"Boeci, l. 15",,
122,15,5,se[m]pre,_,sempre,SENprE,s.e.m.p.r.e,'S/E\N.pr/(E)\,pro,ADVgen,ADVgen,,ADV,Adv,Adv,sémpre,DOM,sempres,"Boeci, l. 15",,
123,15,6,fai,_,fai,fAi,f.a.i,f/A\i,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,faire,DOM,faire,"Boeci, l. 15",,
124,15,7,epsam[ent],|,epsament,ePSAmENT,e.p.s.a.m.e.n.t,/e\P.S/A\.'m/E\NT,pro,ADVgen,ADVgen,,ADV,Adv,Adv,eisamén,DOM,,"Boeci, l. 15",</l>,
125,16,1,laisa,+,laisa,LAisA,l.a.i.s.a,'L/A\i.s/(A)\,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,laisar,DOM,laisser,"Boeci, l. 16",,<lb/><l n=&quot;16&quot;>
126,16,2,n,.,n,n,n,/\n,pro,DETxxx,DETxxx,smr,D,Det,Det,én2,DOM,,"Boeci, l. 16",,
127,16,3,deu,.,deu,dɛu,d.e.u,d/ɛ\u,pro,NOMpro,NOMpro,smr,NPRS,N,N,dèu,DOM,Dieu,"Boeci, l. 16",,
128,16,4,lo,_,lo,LO,l.o,L/(O)\,pro,DETdef,DETdef,smr,D,Det,Det,lo2,DOM,le,"Boeci, l. 16",,
129,16,5,grant,_,grant,grANT,g.r.a.n.t,gr/A\NT,pro,ADJqua,ADJqua,smr,ADJ,Adj,Adj,gran,DOM,grand,"Boeci, l. 16",,
130,16,6,om[n]ipotent,;,omnipotent,OmnipOtENT,o.m.n.i.p.o.t.e.n.t,/O\m.n/i\.p/O\.'t/E\NT,pro,NOMcom,NOMcom,smr,NCS,N,N,omnipotent,DOM,omnipotent,"Boeci, l. 16",</l>,
