wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,ety_map,lang,textlineid,pos,pos_ogr,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
429,92,4,malaureas,malaureas,–,mAlAyrɛAS,m.a.l.a.u.r.e.a.s,m/A\.l/A\./y\.'r/ɛ\./A\S,,pro,85,ADJ,ADJqua,pfn,malaürat,DOM,malheuré,"Spons, l. 85",,</l>,
430,93,1,a,a,+,A,a,/A\,,pro,86,ADP,PRE,---,a2,DOM,à,"Spons, l. 86",,,<l n=&quot;86&quot;>
431,93,2,tot,tot,_,toT,t.o.t,t/o\T,,pro,86,DET,DETdef,pmr,tót,DOM,tout,"Spons, l. 86",,,
432,93,3,iors,jors,–,ʤorS,j.o.r.s,ʤ/o\rS,dj-.ó].-r(n-)(o[).-s-,pro,86,NOUN,NOMcom,pmr,jórn,DOM,jour,"Spons, l. 86",,,
433,93,4,mais,mais,–,mAiS,m.a.i.s,m/A\iS,,pro,86,ADV,ADVgen,---,mais,DOM,mais,"Spons, l. 86",,,
434,93,5,uos,vos,–|,vOS,v.o.s,v/O\S,,pro,86,PRON,PRCper,5pfr,vós,DOM,vous,"Spons, l. 86",,,
435,93,6,so,so,_,So,s.o,S/o\,s-.ò](-n)(-t),pro,86,AUX,VERcjg,indpst6,èser,DOM,être,"Spons, l. 86",,,<lb/>
436,93,7,penas,penas,–,pEnAS,p.e.n.a.s,'p/E\.n/A\S,p-.é[.-n-.a[.-s-,pro,86,NOUN,NOMcom,pfn,péna,DOM,peine,"Spons, l. 86",,,
437,93,8,liureas,liureas,–,LiurɛAS,l.i.u.r.e.a.s,L/i\u.'r/ɛ\./A\S,l-.i[.-b-(e[).-r-.à[(-t-).a[.-s-,pro,86,VERB,VERppe,pfn,liurar2,DOM,livrer,"Spons, l. 86",,</l>,
438,94,1,en,en,+,EN,e.n,/E\N,,pro,87,ADP,PRE,---,én,DOM,en,"Spons, l. 87",,,<l n=&quot;87&quot;>
439,94,2,efern,efern,–,Efɛrn,e.f.e.r.n,/E\.'f/ɛ\rn,e](-n).f-.è].-r.n-(o[),pro,87,NOUN,NOMcom,smr,enfèrn,DOM,enfer,"Spons, l. 87",,,
440,94,3,ora,ora,_,orA,o.r.a,'/o\.r/(A)\,,pro,87,ADV,ADVgen,---,óra,DOM,or2,"Spons, l. 87",,,
441,94,4,ser[et],seret,–,SEreT,s.e.r.e.t,S/E\.'r/e\T,,pro,87,AUX,VERcjg,indfut5,èser,DOM,être,"Spons, l. 87",,,
442,94,5,menei_a_s,meneias,–,mEnɛAS,m.e.n.ei.a.s,m/E\.'n/ɛ\./A\S,m-.e[.-n-.à[(-t-).a[.-s-,pro,87,VERB,VERppe,pfn,menar,DOM,mener,"Spons, l. 87",,</l></lg></sp>,
443,95,1,M[odo],modo,_,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,<stage type=&quot;exit&quot;><p><s xml:lang=&quot;lat&quot;>
444,95,2,accipiant,accipiant,–,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,
445,95,3,eas,eas,_,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,
446,95,4,demones,demones,–|,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,
447,95,5,[et],et,+,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,<lb/>
448,95,6,p[re]cipite[n]t[ur],precipitentur,_,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,
449,95,7,in,in,_,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,
450,95,8,i[n]fernu[m],infernum,|,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,</s></p></stage></body></text>,
