wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_right,tei_left
159,23,3,qu[od],quod,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 25",,
160,23,4,utroru[m]q[ue],utrorumque,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 25",,
161,23,5,populus,populus,,,,|,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 25",,
162,24,1,quiq[ue],quique,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 26",,<lb n=&quot;26&quot;/>
163,24,2,propria,propria,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 26",,
164,24,3,lingua,lingua,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 26",,
165,24,4,testatus,testatus,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 26",,
166,24,5,est,est,,,,.|,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 26",,
167,25,1,Romana,romana,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 27",,<lb n=&quot;27&quot;/>
168,25,2,lingua,lingua,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 27",,
169,25,3,sic,sic,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 27",,
170,25,4,se,se,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 27",,
171,25,5,hab[et],habet,,,,.,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 27",</s></p>,
172,25,6,Si,si,Si,s.i,S/i\,+,si3,DMF,si3,CONsub,CONsub,,"Serments, 13r, col. b, l. 27",,<p><q><s xml:lang=&quot;fro&quot;>
173,25,7,lodhu|uigs,lodhuuigs,LoðouiKS,l.o.dh.u.u.i.g.s,L/o\.ð/o\.'u/i\KS,_,Louis,---,,NOMpro,NOMpro,smn,"Serments, 13r, col. b, l. 27",,
174,26,1,sagrament,sagrament,SAɣrAmENT,s.a.g.r.a.m.e.n.t,S/A\.ɣr/A\.'m/E\NT,.,serment,DMF,serment,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 28",,<lb n=&quot;28&quot;/>
175,26,2,quę,que,kE,qu.e,k/E\,_,que,DMF,que,PRNrel,PRNrel,smr,"Serments, 13r, col. b, l. 28",,
176,26,3,son,son,SON,s.o.n,S/O\N,_,son4,DMF,son4,DETpos,DETpos,3smr,"Serments, 13r, col. b, l. 28",,
177,26,4,fradre,fradre,frAðrə,f.r.a.d.r.e,'fr/A\.ðr/(ə)\,_,frère,DMF,frère,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 28",,
178,26,5,karlo,karlo,kArLə,k.a.r.l.o,'k/A\r.L/(ə)\,|,Charles,---,,NOMpro,NOMpro,smr,"Serments, 13r, col. b, l. 28",,
179,27,1,iurat,jurat,ʤyrAð,j.u.r.a.t,ʤ/y\.'r/A\ð,_,jurer,DMF,jurer,VERcjg,VERcjg,indpsp3|indpst3,"Serments, 13r, col. b, l. 29",,<lb n=&quot;29&quot;/>
180,27,2,conseruat,conservat,kONSɛrvəð,c.o.n.s.e.r.v.a.t,k/O\N.'S/ɛ\r.v/ə\ð,.,conserver,DMF,conserver,VERcjg,VERcjg,indpst3,"Serments, 13r, col. b, l. 29",,
181,27,3,Et,et,eð,e.t,/e\ð,_,et,DMF,et,CONcoo,CONcoo,,"Serments, 13r, col. b, l. 29",,
182,27,4,carlus,carlus,kArLəS,c.a.r.l.u.s,'k/A\r.L/ə\S,_,Charles,---,,NOMpro,NOMpro,smn,"Serments, 13r, col. b, l. 29",,
183,27,5,meos,meos,mɛuS,m.e.o.s,m/ɛ\uS,_,mon,DMF,mon,DETpos,DETpos,1smn,"Serments, 13r, col. b, l. 29",,
184,27,6,sendra,sendra,SENdrə,s.e.n.d.r.a,'S/E\N.dr/(ə)\,|,seigneur,DMF,seigneur,NOMcom,NOMcom,smn,"Serments, 13r, col. b, l. 29",,
185,28,1,de,de,dE,d.e,d/E\,+,de,DMF,de,PRE,PRE,,"Serments, 13r, col. b, l. 30",,<lb n=&quot;30&quot;/>
186,28,2,suo,suo,Soə,s.u.o,'S/o\./(ə)\,_,son4,DMF,son4,DETpos,DETpos,3sfr,"Serments, 13r, col. b, l. 30",,
187,28,3,part,part,pArT,p.a.r.t,p/A\rT,+,part,DMF,part,NOMcom,NOMcom,sfr,"Serments, 13r, col. b, l. 30",,
