syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
159,13,,v/O\S,n,n,n,n,y,y,,n,y,n,75,75,--,8,0803-,,,,,vos,sy
160,13,,d/i\,n,n,n,n,n,y,,n,n,n,76,76,--,9,0902-,,,,,dirum,sy
161,13,,r/O\m,n,n,n,y,y,y,,y,n,n,76,76,--,10,1001r,,,,,dirum,sy
162,14,,/A\i,n,n,n,n,n,n,,n,n,n,77,77,--,1,0110-,,,,,aisex,sy
163,14,,s/ɛ\T,n,n,n,y,y,y,,y,n,n,77,77,--,2,0209-,,,,,aisex,sy
164,14,,pr/E\,n,n,n,n,n,y,,n,n,n,78,78,--,3,0308-,,,,,presen,sy
165,14,,z/E\n,n,n,n,y,y,y,,y,n,n,78,78,--,4,0407c,,,,,presen,sy
166,14,,k/E\,y,n,n,n,y,y,,n,y,n,79,79,--,5,0506-,,,,,que,sy
167,14,,v/O\S,n,n,n,n,y,y,,n,y,n,80,80,--,6,0605-,,,,,vos,sy
168,14,,k/O\,n,n,n,n,n,y,,n,n,n,81,81,--,7,0704-,,,,,comandarum,sy
169,14,,m/A\N,n,n,n,n,n,y,,n,n,n,81,81,--,8,0803-,,,,,comandarum,sy
170,14,,d/A\,n,n,n,n,n,y,,n,n,n,81,81,--,9,0902-,,,,,comandarum,sy
171,14,,r/O\m,n,n,n,y,y,y,,y,n,n,81,81,--,10,1001r,,,,,comandarum,sy
172,15,,/A\,n,n,n,n,n,n,,n,n,n,82,82,--,1,0113-,,,,,atendet,sy
173,15,,t/E\N,n,n,n,n,n,y,,n,n,n,82,82,--,2,0212-,,,,,atendet,sy
174,15,,d/ɛ\T,n,n,n,y,y,y,,y,n,n,82,82,--,3,0311-,,,,,atendet,sy
175,15,,/y\N,n,n,n,n,y,n,,n,y,n,83,83,--,4,0410-,,,,,un,sy
176,15,,/E\S,n,n,n,n,n,n,,n,n,n,84,84,--,5,0509-,,,,,espos,sy
177,15,,p/o\S,n,n,n,y,y,y,,y,n,n,84,84,--,6,0608-,,,,,espos,sy
178,15,,ʤ/E\,n,n,n,n,n,y,,n,n,n,85,85,--,7,0707-,,,,,jhesu,sy
179,15,,z/y\,n,n,n,y,y,y,,y,n,n,85,85,--,8,0806-,,,,,jhesu,sy
180,15,,S/A\L,n,n,n,n,n,y,,n,n,n,86,86,--,9,0905-,,,,,salvaire,sy
181,15,,v/A\i,n,n,n,y,y,y,,n,n,n,86,86,--,10,1004-,,,,,salvaire,sy
182,15,,r/E\,y,n,n,n,n,y,,y,n,n,86,86,--,11,1103-,,,,,salvaire,sy
183,15,,/A\,n,n,n,n,y,n,,n,y,n,87,87,--,12,1202-,,,,,a,sy
184,15,,n/O\m,n,n,n,n,y,y,,n,y,n,88,88,--,13,1301r,,,,,nom,sy
185,16,,g/A\i,n,n,n,y,y,y,,n,n,n,89,89,--,1,0105-,,,,,gaire,sy
186,16,,r/E\,y,n,n,n,n,y,,y,n,n,89,89,--,2,0204-,,,,,gaire,sy
187,16,,n/O\i,n,n,n,n,y,y,True,n,y,n,90,"90, 91",--,3,0303-,,,,,no i,sy
188,16,,d/O\r,n,n,n,n,n,y,,n,n,n,92,92,--,4,0402-,,,,,dormet,sy
189,16,,m/ɛ\T,n,n,n,y,y,y,,y,n,n,92,92,--,5,0501r,,,,,dormet,sy
190,17,,/A\i,n,n,n,n,n,n,,n,n,n,93,93,--,1,0110-,,,,,aisel,sy
191,17,,s/e\l,n,n,n,y,y,y,,y,n,n,93,93,--,2,0209-,,,,,aisel,sy
192,17,,/E\S,n,n,n,n,n,n,,n,n,n,94,94,--,3,0308-,,,,,espos,sy
193,17,,p/o\S,n,n,n,y,y,y,,y,n,n,94,94,--,4,0407c,,,,,espos,sy
194,17,,k/E\,y,n,n,n,y,y,,n,y,n,95,95,--,5,0506-,,,,,que,sy
195,17,,v/o\S,n,n,n,n,y,y,,n,y,n,96,96,--,6,0605-,,,,,vos,sy
196,17,,/o\r,n,n,n,n,y,n,,n,y,n,97,97,--,7,0704-,,,,,hor,sy
197,17,,/A\,n,n,n,n,n,n,,n,n,n,98,98,--,8,0803-,,,,,atendet,sy
198,17,,t/E\N,n,n,n,n,n,y,,n,n,n,98,98,--,9,0902-,,,,,atendet,sy
199,17,,d/ɛ\T,n,n,n,y,y,y,,y,n,n,98,98,--,10,1001r,,,,,atendet,sy
200,18,,v/E\,n,n,n,n,n,y,,n,n,n,99,99,--,1,0110-,,,,,venit,sy
201,18,,n/i\T,n,n,n,y,y,y,,y,n,n,99,99,--,2,0209-,,,,,venit,sy
202,18,,/E\N,n,n,n,n,y,n,,n,y,n,100,100,--,3,0308-,,,,,en,sy
203,18,,t/ɛ\r,n,n,n,y,y,y,,n,n,n,101,101,--,4,0407c,,,,,terra,sy
204,18,,r/A\,y,n,n,n,n,y,,y,n,n,101,101,--,el,----c,,,,,terra,el
205,18,,p/E\r,n,n,n,n,y,y,,n,y,n,102,102,--,5,0506-,,,,,per,sy
206,18,,L/O\S,n,n,n,n,y,y,,n,y,n,103,103,--,6,0605-,,,,,los,sy
207,18,,v/ɔ\S,n,n,n,y,y,y,,n,n,n,104,104,--,7,0704-,,,,,vostres,sy
208,18,,tr/E\S,n,n,n,n,n,y,,y,n,n,104,104,--,8,0803-,,,,,vostres,sy
209,18,,p/E\,n,n,n,n,n,y,,n,n,n,105,105,--,9,0902-,,,,,pechet,sy
210,18,,ċ/ɛ\T,n,n,n,y,y,y,,y,n,n,105,105,--,10,1001r,,,,,pechet,sy
211,19,,d/E\,y,n,n,n,y,y,,n,y,n,106,106,--,1,0110-,,,,,de,sy
212,19,,L/A\,y,n,n,n,y,y,,n,y,n,107,107,--,2,0209-,,,,,la,sy
213,19,,v/i\r,n,n,n,n,n,y,,n,n,n,108,108,--,3,0308-,,,,,virgine,sy
214,19,,ʤ/i\,n,n,n,y,y,y,,n,n,n,108,108,--,4,0407c,,,,,virgine,sy
215,19,,n/E\,y,n,n,n,n,y,,y,n,n,108,108,--,el,----c,,,,,virgine,el
216,19,,/E\N,n,n,n,n,y,n,,n,y,n,109,109,--,5,0506-,,,,,en,sy
217,19,,b/E\t,n,n,n,n,n,y,,n,n,n,110,110,--,6,0605-,,,,,betleem,sy
218,19,,L/E\,n,n,n,n,n,y,,n,n,n,110,110,--,7,0704-,,,,,betleem,sy
219,19,,/E\m,n,n,n,y,y,n,,y,n,n,110,110,--,8,0803-,,,,,betleem,sy
220,19,,f/o\,n,n,n,n,y,y,,n,y,n,111,111,--,9,0902-,,,,,fo,sy
221,19,,n/ɛ\T,n,n,n,n,y,y,,n,y,n,112,112,--,10,1001r,,,,,net,sy
222,20,,/E\,n,n,n,n,y,n,,n,y,n,113,113,--,1,0110-,,,,,e,sy
223,20,,fL/y\m,n,n,n,n,y,y,,n,y,n,114,114,--,2,0209-,,,,,flum,sy
224,20,,ʤ/O\r,n,n,n,n,n,y,,n,n,n,115,115,--,3,0308-,,,,,jorda,sy
225,20,,d/A\,n,n,n,y,y,y,,y,n,n,115,115,--,4,0407c,,,,,jorda,sy
226,20,,L/A\,n,n,n,n,n,y,,n,n,n,116,116,--,5,0506-,,,,,lavet,sy
227,20,,v/ɛ\T,n,n,n,y,y,y,,y,n,n,116,116,--,6,0605-,,,,,lavet,sy
228,20,,/E\,n,n,n,n,y,n,,n,y,n,117,117,--,7,0704-,,,,,e,sy
229,20,,b/A\,n,n,n,n,n,y,,n,n,n,118,118,--,8,0803-,,,,,bateet,sy
230,20,,t/E\,n,n,n,n,n,y,,n,n,n,118,118,--,9,0902-,,,,,bateet,sy
231,20,,/ɛ\T,n,n,n,y,y,n,,y,n,n,118,118,--,10,1001r,,,,,bateet,sy
232,21,,g/A\i,n,n,n,y,y,y,,n,n,n,119,119,--,1,0102-,,,,,gaire,sy
233,21,,r/E\,y,n,n,n,n,y,,y,n,n,119,119,--,2,0201r,,,,,gaire,sy
234,22,,/e\u,n,n,n,n,y,n,,n,y,n,120,120,--,1,0110-,,,,,eu,sy
