syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
141,19,,n/E\L,y,n,n,n,y,y,True,n,y,n,106,"106, 107",--,8,0803-,,,,,ne l,sy
142,19,,S/A\i,n,n,n,n,y,y,,n,y,n,108,108,--,9,0902-,,,,,sai,sy
143,19,,d/i\,n,n,n,y,y,y,,n,n,n,109,109,--,10,1001r,,,,,diret,sy
144,19,,r/V\,y,n,n,n,n,y,,y,n,n,109,109,--,el,----r,,,,,diret,el
145,20,,L/i\,n,n,n,n,y,y,,n,y,n,110,110,--,1,0110-,,,,,li,sy
146,20,,S/uE\NS,n,n,n,n,y,y,,n,y,n,111,111,--,2,0209-,,,,,suensz,sy
147,20,,S/E\N,n,n,n,n,n,y,,n,n,n,112,112,--,3,0308-,,,,,senblansz,sy
148,20,,bL/A\NS,n,n,n,y,y,y,,y,n,n,112,112,--,4,0407c,,,,,senblansz,sy
149,20,,n/E\n,n,n,n,n,y,y,,n,y,n,114,"113, 114",--,5,0506-,,,,,n en,sy
150,20,,/ɛ\ST,n,n,n,n,y,n,,n,y,n,115,115,--,6,0605-,,,,,est,sy
151,20,,/E\N,n,n,n,y,y,n,,n,n,n,116,116,--,7,0704-,,,,,entreiz,sy
152,20,,tr/V\S,n,n,n,n,n,y,,y,n,n,116,116,--,8,0803-,,,,,entreiz,sy
153,20,,Ç/E\NT,n,n,n,n,y,y,,n,y,n,117,117,--,9,0902-,,,,,cent,sy
154,20,,m/i\,n,n,n,y,y,y,,n,n,n,118,118,--,10,1001r,,,,,miliet,sy
155,20,,li/V\,y,n,n,n,n,y,,y,n,n,118,118,--,el,----r,,,,,miliet,el
156,21,,n/E\,y,n,n,n,y,y,,n,y,n,119,119,--,1,0104-,,,,,ne,sy
157,21,,ʤ/a\,n,n,n,n,y,y,,n,y,n,120,120,--,2,0203-,,,,,ja,sy
158,21,,n/E\n,n,n,n,n,y,y,,n,y,n,122,"121, 122",--,3,0302-,,,,,n en,sy
159,21,,/iE\rT,n,n,n,n,y,n,,n,y,n,123,123,--,4,0401r,,,,,iert,sy
160,22,,/i\l,n,n,n,n,y,n,,n,y,n,124,124,--,1,0110-,,,,,il,sy
161,22,,d/i\ST,n,n,n,n,y,y,,n,y,n,125,125,--,2,0209-,,,,,dist,sy
162,22,,d/E\,y,n,n,n,y,y,,n,y,n,126,126,--,3,0308-,,,,,de,sy
163,22,,m/E\i,n,n,n,n,y,y,,n,y,n,127,127,--,4,0407c,,,,,mei,sy
164,22,,k/E\,y,n,n,n,y,y,,n,y,n,128,128,--,5,0506-,,,,,que,sy
165,22,,ʤ/ɔ\,n,n,n,n,y,y,,n,y,n,129,129,--,6,0605-,,,,,jo,sy
166,22,,/ɛ\,n,n,n,y,y,n,,n,n,n,130,130,--,7,0704-,,,,,eret,sy
167,22,,r/V\,y,n,n,n,n,y,,y,n,n,130,130,--,8,0803-,,,,,eret,sy
168,22,,m/o\LT,n,n,n,n,y,y,,n,y,n,131,131,--,9,0902-,,,,,molt,sy
169,22,,b/ɛ\,n,n,n,y,y,y,,n,n,n,132,132,--,10,1001r,,,,,bellet,sy
170,22,,l/V\,y,n,n,n,n,y,,y,n,n,132,132,--,el,----r,,,,,bellet,el
171,23,,S/i\,n,n,n,n,y,y,,n,y,n,133,133,--,1,0110-,,,,,si,sy
172,23,,m/A\i,n,n,n,y,y,y,,n,n,n,135,"134, 135",--,2,0209-,,,,,m aimet,sy
173,23,,m/V\,y,n,n,n,n,y,,y,n,n,135,135,--,3,0308-,,,,,aimet,sy
174,23,,t/A\NT,n,n,n,n,y,y,,n,y,n,136,136,--,4,0407c,,,,,tant,sy
175,23,,t/o\Ç,n,n,n,n,y,y,,n,y,n,137,137,--,5,0506-,,,,,toz,sy
176,23,,t/E\NPS,n,n,n,n,y,y,,n,y,n,138,138,--,6,0605-,,,,,temps,sy
177,23,,L/i\,n,n,n,n,y,y,,n,y,n,139,139,--,7,0704-,,,,,li,sy
178,23,,S/o\i,n,n,n,n,y,y,,n,y,n,140,140,--,8,0803-,,,,,soi,sy
179,23,,n/o\,n,n,n,n,n,y,,n,n,n,141,141,--,9,0902-,,,,,novelet,sy
180,23,,v/ɛ\,n,n,n,y,y,y,,n,n,n,141,141,--,10,1001r,,,,,novelet,sy
181,23,,l/V\,y,n,n,n,n,y,,y,n,n,141,141,--,el,----r,,,,,novelet,el
182,24,,S/o\,n,n,n,y,y,y,,n,n,n,142,142,--,1,0104-,,,,,soe,sy
183,24,,/V\,y,n,n,n,n,n,,y,n,n,142,142,--,2,0203-,,,,,soe,sy
184,24,,m/E\r,n,n,n,n,n,y,,n,n,n,143,143,--,3,0302-,,,,,mercid,sy
185,24,,ʦ/i\,n,n,n,y,y,y,,y,n,n,143,143,--,4,0401r,,,,,mercid,sy
186,25,,d/o\L,n,n,n,n,n,y,,n,n,n,144,144,--,1,0109-,,,,,dolcor,sy
187,25,,Ç/o\r,n,n,n,y,y,y,,y,n,n,144,144,--,2,0208-,,,,,dolcor,sy
188,25,,d/E\,y,n,n,n,y,y,,n,y,n,145,145,--,3,0307-,,,,,de,sy
189,25,,m/ɛ\l,n,n,n,n,y,y,,n,y,n,146,146,--,4,0406-,,,,,mel,sy
190,25,,/A\,n,n,n,n,n,n,,n,n,n,147,147,--,5,0505-,,,,,apeleid,sy
